,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken Stew,Chicken sand,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
Mortimer,-0.00023097490189205095,-0.0015016264611329064,-0.004210507193256289,-0.0006112915700228479,-0.001426553050384478,-0.00023097490189205106,-0.002738912162226467,-0.0014479638047549157,-0.0005165822915590466,-0.0005659167828031799,-0.0003266647072084156,-0.014529263769013022,-0.00046202138136949877,-0.00040010158748696444,-0.004442768132354405,-0.007395850828413344,-0.00040010158748696347,-0.0004001015874869655,-0.0024875983314697906,-0.0002309749018920516,-0.0003266647072084153,-0.0006670197374699877,-0.0007664529602675262,-0.018403914010879308,0.16852435311858424,-0.0031383878004175364,-0.005234216194105221,-0.0005659167828031799,-0.0008648096718611791,-0.0006269800375885788,-0.0008005753913712812,-0.0008333083656164421,-0.0011479553448466404,-0.0009531217027715566,-0.000611291570022851,-0.0013475720298614503,-0.0003266647072084157,-0.004460881196336194,-0.0015691419425162205,-0.0019369897339695395,-0.002633923734194541,-0.00023097490189205174,-0.000616410816819162,-0.0012046716608526142,-0.0003266647072084145,-0.0005659167828031822,-0.002257696613798322,-0.0005659167828031828,-0.005303961523901279,-0.0026455150692900123,-0.002588851152937093,-0.004362952476053268,-0.001839204092542641,-0.0008005753913712836,-0.00056591678280318,-0.005527282215907867,-0.0007664529602675261,-0.002633243138006669,1.0,-0.0006535319448524113,-0.0043649398388026705,-0.0009808048718128206,-0.0006269800375885784,-0.00023097490189205038,-0.000516582291559046,-0.006642354708087622,-0.0008005753913712826,-0.0005659167828031796,-0.00023097490189205046,-0.0007307464525249958,-0.00040010158748696206,-0.00023097490189205144,-0.0022150919968014484,-0.005800291508150593,-0.0037965029593946178,-0.004020047861547065,-0.0003266647072084149,-0.001977096911697767,-0.004096756693433459,-0.0029797710660441346,-0.0003266647072084149,-0.0007664529602675261,-0.0015543736450951738,-0.008655016251031255,-0.00023097490189205166,-0.0016570227307393056,-0.002768888313890513,-0.00409108457818915,-0.0032007191338449515,-0.001059554779431314,-0.0007564223652184259,-0.0009246160495872892,-0.00159597651008913,-0.0006112915700228507
Muesli,-0.0002922079972777283,-0.0018997183558582436,-0.005326742708348042,-0.0007733493291518546,-0.001804742447982934,-0.0002922079972777284,-0.0034650173291029263,-0.0018318293461850475,-0.0006535319448524185,-0.0007159453619166713,-0.0004132658530981791,0.0011424330227327406,-0.0005845065478697235,-0.0005061713745930962,-0.0056205776804759446,-0.009356543680860682,-0.0005061713745930972,-0.0005061713745930959,-0.003147078407722083,-0.0002922079972777294,-0.0004132658530981788,-0.0008438514316239986,-0.0009696451116235566,-0.008232738792318535,-0.0007733493291518545,-0.003970396810773231,0.008085940117362392,-0.0007159453619166707,-0.001094076889614038,-0.0007931969214668019,-0.0010128136428076777,-0.0010542243622008703,-0.001452286501841104,-0.0012058010703646911,-0.0007733493291518619,-0.0017048229950859686,-0.0004132658530981789,-0.005643492647025685,-0.0019851326733388666,-0.002450499540314931,-0.003332195719303591,-0.0002922079972777264,-0.0007798257248193825,-0.0015240387181092677,-0.0004132658530981769,-0.0007159453619166713,-0.002856228103463149,-0.0007159453619166714,-0.006710079588048295,-0.0033468600000815954,-0.0032751740749885996,-0.0055196023238977664,-0.0023267902272691844,-0.0010128136428076858,-0.0007159453619166727,-0.006992604189757705,-0.0009696451116235587,-0.003331334692207637,-0.0006535319448524113,1.0,-0.005522116550699555,-0.0012408232451446499,-0.0007931969214668023,-0.000292207997277727,-0.000653531944852417,-0.008403290359944342,-0.001012813642807685,-0.0007159453619166708,-0.00029220799727772714,-0.0009244725537752546,-0.0005061713745930947,-0.00029220799727772644,-0.0028023286983525986,-0.007337990194345067,-0.004802982996577479,-0.005085791248142967,-0.00041326585309817815,-0.0025012394171778423,-0.005182836138974942,-0.0037697296477771044,-0.0004132658530981778,-0.0009696451116235582,-0.0019664491948429112,0.00696182499870786,-0.00029220799727772953,0.03755345139483945,-0.0035029403725682076,-0.005175660305486987,-0.004049252625665993,-0.0013404503154562128,-0.0009569553342200765,-0.0011697383650238159,-0.002019081276343174,-0.0007733493291518615
Muffin,-0.001951657204488043,-0.012688218838121207,0.005854010552458754,-0.005165200144713027,0.012261440433513345,-0.001951657204488041,-0.012124215508340117,-0.00675028652948479,0.017941169606561606,-0.004781799049382086,0.0325033886318922,-0.03835860996639284,-0.003903919214559175,-0.0033807185947457817,0.00606004103475657,0.024520943665848803,-0.0033807185947457774,-0.003380718594745783,-0.016950589973072108,-0.0019516572044880381,-0.002760202619647568,-0.005636083684873417,-0.006476259669574018,0.029797049263254653,-0.005165200144713029,-0.00840115339706988,-0.011050882627473318,-0.004781799049382075,-0.007307339510799462,0.00974285029700829,-0.006764582287974448,-0.007041164481479386,-0.009699821499426794,0.016155839381929313,0.013688851193922966,-0.004459324058125198,-0.0027602026196475726,-0.019951424647541054,-0.0077049460948100746,0.011512960161782642,-0.00794966393004641,-0.001951657204488048,0.0068900539197171064,-0.0012104471200359871,-0.0027602026196475787,-0.00478179904938207,0.00825625709133967,-0.004781799049382076,0.04153742257051521,-0.0040469820636584745,0.018049049690931834,0.029713259589255175,-0.009237684294454766,0.03644664124549845,-0.004781799049382061,-0.005031243793126184,-0.006476259669574042,-0.0020897223229513697,-0.0043649398388026705,-0.005522116550699555,1.0,0.027005306443689356,-0.005297762213150838,-0.0019516572044880481,0.01794116960656161,-0.016518950038092298,-0.006764582287974487,-0.0047817990493820945,-0.0019516572044880488,-0.006174552157147468,-0.0033807185947457735,-0.001951657204488048,-0.009607415991705143,-0.014136599637528715,0.00530924859408995,-0.016853853716055002,-0.002760202619647579,0.025979909091857913,-0.004290681811469848,-0.014455773259360446,-0.0027602026196475774,0.008567179678028463,0.0011465354763588772,0.013986475267723925,-0.0019516572044880388,-0.0028214946240208904,0.0003577141188377982,-0.01841088313179227,-0.009416439580346788,-0.008952867614132923,-0.006391504646701335,0.004663903472885365,-0.01348544378022894,-0.005165200144713028
My-5 Fruit Shoot,-0.0004385386660439131,-0.002851051173816451,0.015066903501391107,-0.001160623892404544,0.07398518831584226,-0.0004385386660439124,-0.005200213859580341,-0.002749164996783344,-0.0009808048718128173,-0.0010744734124331918,-0.0006202193561695086,-0.00154106506201413,-0.0008772132323027884,-0.0007596497066187289,0.03740469119046284,0.007625141268177941,0.13547086434700706,-0.0007596497066187285,-0.004723058847517905,-0.0004385386660439038,-0.0006202193561695084,-0.001266431735651358,-0.0014552198356954796,-0.008172725750805972,-0.001160623892404546,-0.005958675112531611,0.029303138055131704,-0.0010744734124331816,-0.0016419640262781566,-0.0011904106769520875,-0.0015200061189489418,-0.0015821543209549877,-0.0021795563131889956,0.05546005047045425,-0.0011606238924045385,-0.0025585569494027825,-0.0006202193561695068,-0.00846961671245107,-0.0029792389072047796,-0.003677650199729323,0.011920332821320092,-0.0004385386660439147,-0.001170343509743106,-0.002287240296861869,0.16621878745343,0.095269975902409,-0.0042865577741851195,-0.0010744734124331775,0.01657476358924991,-0.005022886209635518,0.01607225639864435,0.015049417476907726,0.02632849804477072,0.06662693488059529,-0.0010744734124331773,-0.01049433055261276,-0.0014552198356954696,-0.0049995862046104305,-0.0009808048718128206,-0.0012408232451446499,0.027005306443689356,1.0,-0.0011904106769520832,-0.0004385386660439164,-0.00098080487181282,-0.004803672389578249,-0.0015200061189489377,-0.0010744734124331714,-0.0004385386660439164,-0.001387425957892196,-0.0007596497066187305,-0.0004385386660439149,-0.004205666855942036,0.003986868049938471,0.006398858459406314,-0.007632631996785022,-0.000620219356169511,-0.0037537993747073883,0.004178044648844553,-0.00565751870750864,-0.0006202193561695115,-0.0014552198356954792,0.03083061288160678,-0.010459241118521336,-0.0004385386660439044,-0.0031460930689451343,-0.0052571278422520315,-0.00776750529557707,-0.0060770200045094135,-0.0020117152806040715,-0.0014361753259395532,-0.0017555149311344138,-0.0030301881461520055,-0.0011606238924045244
Nomad bag,-0.000280336076239159,-0.0018225359839643266,-0.0051103260824671,-0.0007419294424394683,-0.0017314187879975405,-0.0002803360762391591,-0.003324239484171862,-0.0017574051909372713,-0.000626980037588582,-0.0006868577021544877,-0.0003964755543328258,0.015664029716200036,-0.0005607590267632401,-0.00048560648024682275,-0.005392223032295937,0.00949130183099245,-0.0004856064802468239,-0.0004856064802468238,-0.0030192178881376375,-0.00028033607623915985,-0.00039647555433282544,-0.0008095671626859363,-0.0009302500563619942,0.016166277671035265,-0.0007419294424394666,-0.003809086244777717,-0.006352809842208339,-0.0006868577021544877,-0.0010496263798243492,-0.000760970660353428,-0.0009716647224967548,-0.0010113929937866511,0.04696710484426933,-0.001156811394418257,-0.0007419294424394718,-0.0016355588949554132,-0.0003964755543328258,0.009916547561872867,-0.00190448006092401,-0.0023509398522889658,-0.003196814193701379,-0.0002803360762391593,-0.0007481427130087905,-0.0014621195800648811,-0.00039647555433282435,-0.0006868577021544894,-0.0027401843441260936,-0.0006868577021544888,-0.006437460303928915,-0.003210882689336256,-0.003142109243197314,0.009620348151327805,-0.002232256641231848,-0.0009716647224967571,-0.000686857702154488,-0.006708506404727314,-0.0009302500563619905,-0.0031959881486928027,-0.0006269800375885784,-0.0007931969214668023,-0.005297762213150838,-0.0011904106769520832,1.0,-0.0002803360762391583,-0.0006269800375885811,0.0019203784850367403,-0.0009716647224967563,-0.0006868577021544876,-0.0002803360762391584,0.09454490275378676,-0.00048560648024682275,-0.0002803360762391595,-0.0026884747814821005,0.0025486075280100867,0.01278879321792602,0.009909513518002563,-0.000396475554332825,-0.0023996182530210473,-0.0049722661957462295,0.018002490997582003,-0.00039647555433282495,-0.0009302500563619931,-0.001886555660836223,-0.010504662089798085,-0.00028033607623916,-0.002011141672837065,-0.0033606217779596752,-0.0049653819043425085,-0.0038847382801142937,0.06460569143220708,-0.0009180758433398233,-0.0011222138563357538,-0.0019370493891035664,-0.000741929442439471
Olum & polenta,-0.00010327377878756623,-0.0006714090479019774,-0.00188260709236292,-0.0002733214295583848,-0.000637842133267743,-0.00010327377878756613,-0.0012246257339792984,-0.0006474153357776894,-0.00023097490189205372,-0.0002530333995626145,-0.0001460587208116398,0.011903943571999696,-0.00020657956143208756,-0.00017889390795366146,-0.001986455885668697,-0.003306841808970079,-0.00017889390795366306,-0.00017889390795366138,-0.0011122579886042973,-0.00010327377878756643,-0.00014605872081163978,-0.0002982386755016787,-0.00034269737889849503,-0.008228780394820652,-0.00027332142955838467,-0.0014032397667232007,-0.002340329104713532,-0.0002530333995626133,-0.000386674751297783,-0.00028033607623915817,-0.0003579542417551806,-0.0003725898489729491,-0.0005132751886484318,-0.0004261609338648494,-0.00027332142955838965,-0.0006025280434030187,-0.0001460587208116398,-0.00199455462084511,-0.0007015966519749798,-0.0008660692034550509,-0.0011776831804680558,-0.00010327377878756544,-0.0002756103534062612,-0.0005386342567760335,-0.00014605872081163894,-0.0002530333995626128,-0.0010094640532494592,-0.00025303339956261265,-0.00237151372131827,-0.0011828659123003641,-0.001157530273169305,-0.0019507686124407143,-0.0008223471686426182,-0.00035795424175518527,-0.0002530333995626136,-0.002471365140481351,-0.00034269737889849764,-0.0011773788714735474,-0.00023097490189205038,-0.000292207997277727,-0.0019516572044880481,-0.0004385386660439164,-0.0002803360762391583,1.0,-0.00023097490189205372,-0.0029699377080899866,-0.0003579542417551855,-0.000253033399562614,-0.00010327377878756597,-0.00032673224177030055,-0.000178893907953661,-0.00010327377878756545,-0.0009904146251296755,-0.002593433386957766,-0.0016974970162693397,-0.0017974486845452578,-0.0001460587208116395,-0.0008840019734944245,-0.0018317468306658807,-0.0013323188597177222,-0.00014605872081163926,-0.00034269737889849563,-0.0006949934328873783,-0.0038698413827210334,-0.00010327377878756647,-0.000740890016787701,-0.001238028707334824,-0.0018292107076057428,-0.001431109428262986,-0.0004737494204259393,-0.0003382124870521406,-0.0004134154515763703,-0.0007135949564343938,-0.00027332142955838954
Panatone,-0.0002309749018920542,-0.001501626461132916,-0.004210507193256298,-0.0006112915700228502,0.07128260347552717,-0.00023097490189205426,-0.0027389121622264567,-0.0014479638047549194,0.1995867341667532,-0.0005659167828031838,-0.0003266647072084201,-0.0062987056912638135,-0.00046202138136950543,-0.0004001015874869684,0.017286406914978965,0.00629849322939826,-0.00040010158748696634,-0.000400101587486967,-0.002487598331469793,-0.0002309749018920545,-0.00032666470720842014,-0.0006670197374699896,-0.0007664529602675293,-0.012059182672988356,-0.000611291570022849,-0.0031383878004175325,0.013366939631111324,-0.0005659167828031831,-0.0008648096718611799,-0.0006269800375885813,-0.0008005753913712873,-0.0008333083656164411,-0.0011479553448466412,-0.0009531217027715624,-0.0006112915700228472,-0.0013475720298614482,-0.0003266647072084201,-0.004460881196336184,0.04825240091429375,-0.0019369897339695304,0.02945024914874873,-0.00023097490189205236,-0.0006164108168191548,-0.001204671660852619,-0.0003266647072084192,-0.0005659167828031839,-0.0022576966137983433,-0.0005659167828031862,-0.005303961523901306,-0.0026455150692900145,-0.0025888511529371123,0.017757901858030455,-0.0018392040925426158,-0.0008005753913712894,-0.0005659167828031845,-0.005527282215907878,-0.0007664529602675207,-0.0026332431380066664,-0.000516582291559046,-0.000653531944852417,0.01794116960656161,-0.00098080487181282,-0.0006269800375885811,-0.00023097490189205372,1.0,-0.00664235470808765,-0.0008005753913712884,-0.0005659167828031831,-0.00023097490189205377,-0.0007307464525249949,-0.0004001015874869663,-0.0002309749018920525,-0.0022150919968014523,-0.005800291508150606,-0.003796502959394647,-0.004020047861547069,-0.00032666470720841987,-0.0019770969116977666,-0.004096756693433446,-0.0029797710660441385,-0.00032666470720841987,-0.0007664529602675296,-0.0015543736450951869,-0.008655016251031279,-0.00023097490189205453,-0.0016570227307393106,-0.0027688883138905296,-0.004091084578189149,-0.0032007191338449532,-0.0010595547794313206,-0.0007564223652184268,-0.0009246160495872939,-0.0015959765100891402,-0.0006112915700228468
Pastry,-0.002969937708089984,-0.01930831884266224,0.018647467228649035,-0.007860152205181502,-0.007584500797729724,-0.0029699377080899835,-0.015716543137913763,0.021421599737404724,-0.006642354708087637,-0.007276710928850883,-0.004200343084435512,0.008642940099453633,-0.005940795780116411,-0.0051446143369272,-0.020151682013768085,-0.04342716732280606,-0.0051446143369272375,-0.00514461433692721,-0.015783969048826528,-0.002969937708089982,-0.004200343084435512,0.0009810425457031703,-0.009855259292369278,0.08020463682936188,-0.007860152205181506,-0.02111567941004555,-0.024641635257502154,-0.007276710928850889,-0.011119956470343379,0.0019203784850366945,-0.010294014732880828,0.00765512892700467,0.0011577787397396625,0.011845680194811307,-0.007860152205181506,-0.017327445333101054,-0.004200343084435511,-0.008578001091394954,-0.005432633840187587,0.015184554183908015,-0.021999263432714113,-0.0029699377080899866,0.00010364547630418789,0.008319394693971421,-0.004200343084435512,-0.007276710928850848,-0.01995979489848183,0.006238377033364676,0.016522384773961032,-0.002426971642241178,-0.021511706195709208,-0.003729771493700704,-0.011099432384485092,-0.010294014732880866,-0.007276710928850901,0.04961554060776799,-0.009855259292369366,-0.0285069113071657,-0.006642354708087622,-0.008403290359944342,-0.016518950038092298,-0.004803672389578249,0.0019203784850367403,-0.0029699377080899866,-0.00664235470808765,1.0,-0.010294014732880892,-0.0072767109288508994,-0.0029699377080899853,-0.00939613536634933,-0.005144614336927244,-0.0029699377080899874,-0.02243650382798931,-0.05354052665079764,-0.01636715916603992,0.00023340854951804324,-0.004200343084435507,-0.011257081070765854,-0.03590501826011917,-0.0288264118839247,-0.004200343084435507,-0.009855259292369281,-0.00576993576325503,-0.02749245347894277,-0.00296993770808998,0.000953150852767742,-0.017210473618804765,-0.024008477709436375,-0.0037162986095614207,-0.013624041692160705,-0.009726283190520664,-0.003608416572070014,0.02439942939386394,-0.007860152205181527
Pick and Mix Bowls,-0.00035795424175517963,-0.0023271513783153963,0.00759238169093105,-0.0009473514596020008,-0.0022108060715296707,-0.0003579542417551791,-0.004244639647999645,-0.0022439874703885946,-0.0008005753913712884,-0.000877031708750378,-0.0005062498852434384,-0.017202057769804414,-0.0007160194111483708,-0.0006200589726449003,0.021177196787106424,-0.011461748240752299,-0.0006200589726449064,-0.0006200589726448993,-0.00385516507308178,-0.0003579542417551729,-0.0005062498852434399,-0.00103371640124519,-0.0011878134203594153,0.012448345922730347,-0.0009473514596020044,0.016125731032390976,0.015910930604464968,-0.0008770317087504234,-0.0013402421120988002,-0.0009716647224967567,-0.0012406947890818939,-0.0012914228416985693,-0.0017790482068282879,-0.0014771040213514457,-0.0009473514596019962,-0.0020884049314803584,-0.0005062498852434379,-0.006913267775477857,0.029739519364735664,-0.003001857283328041,-0.004081933428226827,-0.00035795424175518294,-0.0009552850319958898,-0.001866944535497596,-0.0005062498852434491,-0.0008770317087504186,0.10205594170481436,-0.0008770317087504145,0.0026546023709720966,0.038318269464335156,-0.004012082022226508,0.050374962645427894,-0.002850313609773982,-0.0012406947890818908,-0.0008770317087504164,-0.008565926853329246,-0.0011878134203594383,0.0659886763929534,-0.0008005753913712826,-0.001012813642807685,-0.006764582287974487,-0.0015200061189489377,-0.0009716647224967563,-0.0003579542417551855,-0.0008005753913712884,-0.010294014732880892,1.0,-0.0008770317087504203,-0.0003579542417551851,-0.0011324771227790163,-0.0006200589726449047,-0.0003579542417551831,-0.0034328473337921707,0.009375893442677504,-0.005883645049826902,-0.006230084620934942,-0.0005062498852434443,0.02784422300957139,0.008289933553018495,-0.004617911659719466,-0.0005062498852434443,-0.0011878134203594142,0.12167490129090265,-0.006099355661048272,-0.000357954241755172,-0.0025679773442662166,-0.004291095304227846,-0.006340174045517876,-0.004960326776812498,-0.0016420490908864058,-0.001172268467138346,-0.0014329272757928183,-0.0024733707292363717,-0.0009473514596019547
Pintxos,-0.000253033399562615,-0.0016450343531749425,-0.004612617822391856,-0.0006696709591379678,-0.0015627913034633486,-0.000253033399562615,-0.0030004829521930094,-0.0015862468214489665,-0.0005659167828031835,-0.0006199628022318664,-0.0003578617447392726,-0.015916833277121418,-0.0005061452124922975,-0.0004383119725256568,-0.004867060077910425,-0.008102167215752383,-0.00043831197252565775,-0.0004383119725256564,-0.002725168221317233,-0.0002530333995626156,-0.00035786174473927227,-0.0007307212617684054,-0.0008396505271900037,-0.020161519235571256,-0.0006696709591379698,0.026236266433002087,-0.005734092781470808,-0.0006199628022318654,-0.0009474004727489026,-0.0006868577021544877,-0.0008770317087504235,-0.0009128907379488386,-0.0012575870411598885,-0.0010441464534614666,-0.0006696709591379708,-0.0014762674605689283,-0.0003578617447392725,-0.004886902970442303,-0.0017189976783569649,-0.002121975562233419,-0.0028854679499479598,-0.00025303339956261265,-0.000675279102747772,-0.0013197198622244258,-0.000357861744739271,-0.0006199628022318646,-0.0024733104969014777,-0.0006199628022318663,-0.005810498909397828,-0.0028981662773448296,-0.002836090860189717,-0.004779621890095389,-0.002014851225017666,-0.0008770317087504216,-0.0006199628022318638,-0.006055147108956396,-0.0008396505271899992,-0.00288472235566161,-0.0005659167828031796,-0.0007159453619166708,-0.0047817990493820945,-0.0010744734124331714,-0.0006868577021544876,-0.000253033399562614,-0.0005659167828031831,-0.0072767109288508994,-0.0008770317087504203,1.0,-0.00025303339956261417,-0.0008005339869659795,-0.0004383119725256598,-0.0002530333995626127,-0.0024266370662062602,-0.00635422925494926,-0.004159075477014872,-0.004403969299171163,-0.00035786174473927183,-0.0021659130439437803,-0.004488003955532946,-0.003264344292748486,-0.0003578617447392717,-0.000839650527190003,-0.0017028189833057385,-0.009481585087074182,-0.00025303339956261574,-0.0018152712319689714,-0.0030333218775447394,-0.0044817901435939625,-0.0035063932784368127,-0.0011607440707459317,-0.0008286619931799524,-0.001012918461706147,-0.0017483949929705629,-0.0006696709591379702
