,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken Stew,Chicken sand,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
Afternoon,0,19,247,3,31,1,68,31,4,0,2,1709,4,1,257,744,2,1,125,1,2,5,4,2897,2,143,316,6,11,8,8,6,17,5,5,28,2,157,36,81,90,0,6,12,1,5,98,3,342,63,84,230,14,9,5,201,8,114,1,3,209,8,4,1,3,243,12,0,1,0,2,2,93,687,139,224,0,56,333,132,2,10,27,960,0,33,96,117,154,0,6,4,30,5
Evening,1,15,17,0,2,0,1,0,1,0,0,54,0,0,7,30,0,0,5,0,0,1,0,87,1,12,21,0,0,0,1,3,1,3,1,1,0,9,3,0,15,0,0,0,1,0,0,0,21,8,3,12,0,1,0,16,2,4,2,0,11,3,1,0,0,10,0,6,0,10,0,0,3,6,12,4,0,1,1,0,0,0,1,49,0,1,4,0,7,21,4,3,2,0
Morning,0,10,109,4,5,0,92,26,0,6,0,1656,0,2,132,272,1,2,2,0,0,4,7,2634,4,32,208,0,3,1,3,4,13,9,1,13,0,214,22,9,54,1,5,17,0,1,9,3,245,85,39,139,49,2,1,413,1,22,2,5,159,7,4,0,2,616,0,0,0,0,1,0,9,97,133,127,2,23,16,48,0,1,19,471,1,30,51,211,35,0,3,2,24,2
Night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0
