,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken Stew,Chicken sand,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
Clear,0,10,25,0,4,0,20,8,0,0,0,299,0,0,36,108,0,0,10,0,1,0,0,515,2,25,56,0,1,1,1,0,2,3,0,6,0,28,0,4,4,0,2,2,2,1,5,0,52,12,10,37,5,0,0,57,0,16,1,0,49,1,1,1,0,83,0,0,1,10,0,0,8,79,19,21,0,11,26,26,0,0,1,138,0,4,18,35,16,16,4,1,4,0
Clouds,0,17,177,5,18,1,73,27,2,2,1,1559,0,0,139,447,3,1,60,1,0,3,7,2538,2,84,258,0,9,3,4,6,11,8,3,13,1,176,28,43,60,1,0,11,0,1,52,3,284,53,70,158,37,8,6,294,2,60,2,7,174,7,2,0,0,394,2,6,0,0,1,0,49,345,130,119,0,37,157,58,1,0,19,618,0,20,51,146,111,5,5,11,36,3
Drizzle,0,0,3,0,0,0,5,5,0,0,0,53,0,0,12,17,0,0,8,0,0,0,0,99,0,2,4,0,0,0,0,0,2,0,0,3,0,4,4,5,0,0,1,1,0,0,0,0,12,5,1,9,0,0,0,7,0,5,0,0,4,0,1,0,0,7,0,0,0,0,0,0,4,13,6,18,0,2,7,6,0,0,0,31,0,4,5,6,3,0,1,0,1,0
Fog,0,3,3,0,0,0,4,1,0,0,0,74,0,0,10,27,0,0,4,0,0,1,0,136,0,4,11,0,0,0,1,0,1,0,0,1,0,5,1,2,4,0,0,1,0,0,0,0,14,1,8,8,4,0,0,9,0,1,0,0,6,0,0,0,0,21,0,0,0,0,1,0,1,25,9,11,0,1,3,5,0,0,0,34,0,1,12,6,3,0,0,0,0,0
Haze,0,1,1,0,1,0,3,2,0,0,0,23,0,0,0,5,0,0,2,0,0,0,0,49,0,1,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,7,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,3,1,3,0,1,3,1,0,0,0,10,0,2,0,4,2,0,0,1,0,0
Mist,0,2,14,0,0,0,5,5,0,0,0,99,0,0,11,27,0,0,1,0,0,0,0,148,0,0,13,0,0,1,1,0,2,0,0,3,0,7,3,8,2,0,1,1,0,0,0,0,21,3,5,11,3,0,0,22,0,0,0,0,6,1,0,0,0,15,0,0,0,0,1,1,5,15,4,22,0,4,10,6,0,0,0,45,0,4,4,10,1,0,1,0,1,0
Rain,0,5,58,1,11,0,36,8,3,0,0,717,0,3,95,252,0,2,35,0,1,4,4,1135,3,43,106,0,4,2,1,0,9,2,0,13,0,67,9,17,42,0,7,9,0,3,9,2,125,39,22,101,8,4,0,100,0,34,2,1,63,2,3,0,5,152,0,0,0,0,0,1,33,200,49,98,2,18,83,52,0,11,3,339,0,19,48,72,42,0,2,0,10,1
Snow,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
NaN,1,6,92,1,4,0,13,0,0,4,1,590,4,0,93,162,0,0,11,0,0,2,0,985,0,28,94,6,0,2,4,7,3,4,4,3,1,88,16,11,47,0,0,4,0,1,41,1,98,43,9,53,6,0,0,133,9,25,0,0,75,7,2,0,0,185,10,0,0,0,0,0,5,109,67,63,0,6,61,26,1,0,24,262,1,10,13,47,18,0,2,3,4,3
